Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C37",0603,2,0.1uF,
"D101, D102, D103, D104",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B-2020,C965555
J101,OLED_Dispaly_1.29inch_I2C_4pin,1,Conn_01x04,
J102,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
JP101,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"R30, R31",0603,2,2.2k,
"SW101, SW102",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP101, TP102, TP103, TP104, TP105, TP106, TP107, TP108, TP109, TP110, TP112",TestPoint_Pad_1.0x1.0mm,11,TestPoint,
U101,TSSOP-20_4.4x6.5mm_P0.65mm,1,SLG46826G(V2),C3281959
U102,SKRHAAE010,1,JOYSTICK,
U22,TSSOP-8_3x3mm_P0.65mm,1,PCA9515DP,C129512
